date,strategy,total_assets,asset_1_symbol,asset_1_weight,asset_1_score,asset_2_symbol,asset_2_weight,asset_2_score,asset_3_symbol,asset_3_weight,asset_3_score,asset_4_symbol,asset_4_weight,asset_4_score,asset_5_symbol,asset_5_weight,asset_5_score,asset_6_symbol,asset_6_weight,asset_6_score,asset_7_symbol,asset_7_weight,asset_7_score
2020-02-12,Custom_Risk_2_neutral,7,BTC,0.2326142558717157,0.9484359254084557,ETH,0.12820080706922268,0.1784783311710328,DCR,0.12265182529456949,-0.08129136535450614,BCH,0.1489886995665909,-0.16913209141980365,ETC,0.13575935572695486,-0.2597614869229405,GNO,0.10420407329262371,-0.28748569382471756,BNB,0.12758098317832278,-0.3292436190575212
2020-02-19,Custom_Risk_2_neutral,7,BTC,0.23261425587171572,0.7583391663708164,ETH,0.1282008070692227,0.20109382354871017,BNB,0.12758098317832278,0.01454537800396799,DCR,0.1226518252945695,-0.11505924077985456,BCH,0.14898869956659092,-0.17346090515498672,ETC,0.13575935572695488,-0.24874900145719558,GNO,0.10420407329262373,-0.43670922053145855
2020-02-26,Custom_Risk_2_neutral,7,BTC,0.23287103440764662,0.6392823991639787,ETH,0.1376608588125473,0.3378061283268525,GNO,0.10600290567299067,0.2621884042335142,BNB,0.16751152077984602,0.12948191435734557,BCH,0.1303962448214841,-0.22860748954551802,DCR,0.11968130596973403,-0.5355905188907835,ETC,0.1058761295357513,-0.6045608376453907
2020-03-04,Custom_Risk_2_neutral,7,BTC,0.23674953067757418,1.0981703805287306,ETH,0.14105634511845455,0.49889593095470325,GNO,0.11649522074769114,0.13998791231011393,DCR,0.13460724591386575,-0.18089903970373467,BCH,0.1216277426610748,-0.3418133495047318,BNB,0.15537251179386166,-0.4208157630352445,ETC,0.09409140308747796,-0.793526071549837
2020-03-11,Custom_Risk_2_neutral,7,BTC,0.20142033010437374,0.5975506876173184,DCR,0.17373661913202715,0.3612886170988082,BNB,0.13861682687620702,0.1680915626285097,ETH,0.12785624460200298,0.01194054907576872,GNO,0.12938099517371968,-0.22612821091758162,ETC,0.11443530634237671,-0.3890638215994801,BCH,0.11455367776929273,-0.523679383903342
2020-03-18,Custom_Risk_2_neutral,7,BTC,0.1503699229921756,0.8238752259069517,ETH,0.12373777039851681,0.2866285493009533,GNO,0.1854769346437153,0.25443335280936724,DCR,0.1517558126723007,0.14387168755765356,BNB,0.13705794497856244,-0.03710489384714022,BCH,0.11966306222450572,-0.7164848251618399,ETC,0.13193855209022334,-0.7552190965659435
2020-03-25,Custom_Risk_2_neutral,7,GNO,0.17795880261767846,0.8270964527177851,BTC,0.1484424490734434,0.6688592669503901,ETC,0.13885959965789774,-0.028916488351983072,DCR,0.14972894951807353,-0.17462746060551926,ETH,0.12530191751695854,-0.3167277673461605,BNB,0.1380042144530904,-0.3576733017720654,BCH,0.12170406716285806,-0.6180107015924481
2020-04-01,Custom_Risk_2_neutral,7,BTC,0.13722662068630775,1.0528849855301066,DCR,0.15085719972271963,0.3914860935469216,ETC,0.20667195655588533,-0.13526177478883977,GNO,0.11677617292272721,-0.14892570605482433,ETH,0.1300585747639749,-0.2108058854848705,BCH,0.1224973377045521,-0.40859442740562646,BNB,0.1359121376438329,-0.5407832853428658
2020-04-08,Custom_Risk_2_neutral,7,BTC,0.15922511624934357,1.1607641305625735,DCR,0.15791883965739578,0.2883371304337865,ETC,0.19375858790841857,0.09786299438487227,BNB,0.14729256995503762,0.044678014525031604,BCH,0.1514755574014368,-0.10932903438559217,ETH,0.1278245637590946,-0.4591451060242323,GNO,0.06250476506927305,-1.0231681294964408
2020-04-15,Custom_Risk_2_neutral,7,BTC,0.21473769799804515,0.5302869188929847,BCH,0.13932248121081967,0.17520980903421696,ETH,0.1223428886948728,0.12401639921311124,BNB,0.14366490303729665,-0.11135142739731592,ETC,0.14057354298207653,-0.11697486227166898,GNO,0.04173128479494614,-0.28854103877764326,DCR,0.1976272012819429,-0.31264579869368464
2020-04-22,Custom_Risk_2_neutral,7,BTC,0.22292920987276407,0.7825356869150332,ETH,0.12809471729203958,0.43041856768289316,BNB,0.12956771452595803,0.29197004885000766,DCR,0.19637663212822504,0.07959565598068337,ETC,0.1473037250797398,0.027613257300072677,BCH,0.14021283853373775,0.0016157592883447036,GNO,0.03551516256753562,-1.613748976017035
2020-04-29,Custom_Risk_2_neutral,7,ETH,0.1358577969580914,0.3495852538297744,BNB,0.16624605679533558,0.3325201378982728,BTC,0.17028453605088054,0.322084315711198,BCH,0.1664754135195228,0.09829468082366205,DCR,0.19611899224231466,-0.08103715110243323,ETC,0.14898608042575165,-0.438390400099852,GNO,0.01603112400810339,-0.5830568370606215
2020-05-06,Custom_Risk_2_neutral,7,ETH,0.1598804964561313,0.571510054496249,BTC,0.15634846148576712,0.382869826701673,BNB,0.21451302910795042,0.1820236818478855,BCH,0.19029623456102152,-0.017063271325884588,ETC,0.10244105811383981,-0.167168036034821,DCR,0.1626476641483247,-0.4129677151277334,GNO,0.013873056126965039,-0.5392045405573683
2020-05-13,Custom_Risk_2_neutral,7,BTC,0.1506121530978925,0.40494672361430095,DCR,0.13263905512558474,0.2605406088350375,ETC,0.10685786308636648,0.11581527537820724,ETH,0.1436132449518829,-0.07132689395869206,GNO,0.1624882578503289,-0.14251058573540804,BNB,0.16695921130785923,-0.1506856894904185,BCH,0.13683021458008518,-0.416779438643028
2020-05-20,Custom_Risk_2_neutral,7,BTC,0.13981118377456012,0.8957982035817741,BCH,0.14336260105039508,0.05421635060649338,DCR,0.14279048142071424,0.050152132767360275,ETH,0.14403484940904554,-0.02021153735797157,BNB,0.16456617048318917,-0.020733207374973625,ETC,0.1454296233999776,-0.20377320700556498,GNO,0.12000509046211832,-0.7554487352171166
2020-05-27,Custom_Risk_2_neutral,7,BTC,0.14109198212343424,0.9512461719863673,BNB,0.16946640390205941,0.3781550892334905,ETH,0.14074297303472807,0.18284363224367634,BCH,0.15942318062938346,-0.0466502178371864,ETC,0.16806891095057042,-0.26944371959190555,DCR,0.1162193557905869,-0.5878561202675467,GNO,0.10498719356923755,-0.6082948357668961
2020-06-03,Custom_Risk_2_neutral,7,BTC,0.13091427080605153,0.5555364167481629,ETC,0.13982271076249864,0.24595208690994572,BNB,0.1627014664590329,0.2065366136851301,GNO,0.17121112220767395,0.12073805833855786,BCH,0.1407820469322199,-0.17441195347705743,DCR,0.1426291664981134,-0.41010732518298243,ETH,0.11193921633440967,-0.5442438970217558
2020-06-10,Custom_Risk_2_neutral,7,BTC,0.14713824512295398,0.4652821677225906,BNB,0.1857410027042358,0.23680276968549638,ETH,0.12014624923216605,0.15042540068296972,ETC,0.15487780942565868,0.04469370082920138,BCH,0.17009507976893962,-0.0076570681440139565,DCR,0.1188031513841473,-0.23636326375982983,GNO,0.10319846236189853,-0.6531837070164146
2020-06-17,Custom_Risk_2_neutral,7,GNO,0.0740109861273606,0.25549003665466963,BTC,0.19115740929793315,0.21510166589057372,ETH,0.16473792469707174,-0.018588041088167834,ETC,0.15827868406473025,-0.08276979082192137,BNB,0.18816454009791206,-0.08474259713474731,DCR,0.07510918519587623,-0.14065834001529998,BCH,0.14854127051911606,-0.14383293348510584
2020-06-24,Custom_Risk_2_neutral,7,BTC,0.1774965899584056,0.6174663622951162,BCH,0.14321317490346627,0.2414310298833421,BNB,0.1812691826162005,0.22921216256841453,ETH,0.1415752932090505,-0.06483301116776682,ETC,0.15991598077084201,-0.1940925105773374,GNO,0.09434903907889143,-0.25956153694182493,DCR,0.10218073946314377,-0.569622496059944
2020-07-01,Custom_Risk_2_neutral,7,BTC,0.20880157600026017,0.3844508617397623,DCR,0.15466421067454073,0.2588356049243835,ETH,0.14198860919947445,0.17115116239827885,ETC,0.1374217937533848,0.11263258274867521,BCH,0.1411538764806931,-0.13095842622652173,BNB,0.18592710157157166,-0.205299738686912,GNO,0.03004283232007508,-0.590812046897666
2020-07-08,Custom_Risk_2_neutral,7,BTC,0.2826619840085945,0.9082042895001092,ETH,0.15578631602914556,0.43373677734462995,BNB,0.15896887904081677,-0.020851233205145633,BCH,0.11636126955102268,-0.16441092641133442,GNO,0.032841106661830814,-0.22425983613142952,DCR,0.1486008384033148,-0.313462476436483,ETC,0.10477960630527487,-0.6189565946603468
2020-07-15,Custom_Risk_2_neutral,7,BTC,0.25275116259020225,0.6722039522013837,ETH,0.15544055780560959,0.5071971015863753,ETC,0.10963275103969021,0.21649536016966364,BCH,0.119812819999442,0.18898838164907406,BNB,0.13356251306271233,-0.09479703643605936,DCR,0.12200399911622181,-0.5058717732883832,GNO,0.1067961963861219,-0.9842159858820538
2020-07-22,Custom_Risk_2_neutral,7,BTC,0.28757878451198116,0.6924557394032584,BNB,0.11428176071624371,0.40813601742989847,DCR,0.11365096822448041,0.08578415739420416,ETH,0.12095557107317391,0.07429493897477674,ETC,0.1465902175230766,0.07096368574270516,BCH,0.15846623568150306,-0.17352561032804925,GNO,0.058476462269541354,-1.158108928616794
2020-07-29,Custom_Risk_2_neutral,7,BTC,0.14829844206287507,0.31404749104080354,DCR,0.20490611562761016,0.28873328353089245,BNB,0.1744908277697207,0.24034209718883395,ETH,0.13237531772890143,0.106684362103134,GNO,0.0792416709726474,-0.13457278229418912,ETC,0.14031990781148757,-0.30102212752119833,BCH,0.12036771802675768,-0.5142123240482765
2020-08-05,Custom_Risk_2_neutral,7,BTC,0.14269257562073628,0.7194580289124148,ETH,0.13811392942569392,0.17599830263030247,ETC,0.13266350629500082,0.15581452031395338,BNB,0.2151633911864263,0.10079415540580242,BCH,0.1017509434025686,-0.025306679823549588,GNO,0.16192469628171074,-0.47827860508398534,DCR,0.10769095778786343,-0.6484797223549391
2020-08-12,Custom_Risk_2_neutral,7,BTC,0.18413548393197687,0.6227126614648895,BNB,0.16497306632203915,0.6014353046676109,ETH,0.12868642016324458,0.5783590034756192,ETC,0.16094917770770448,0.05929798416424653,BCH,0.1140083641892627,-0.37478392297991747,DCR,0.10973489387451177,-0.503342902965745,GNO,0.1375125938112606,-0.9836781278267033
2020-08-19,Custom_Risk_2_neutral,7,BTC,0.23152099124207787,0.7640487484667644,ETH,0.12432441870219159,0.6858985766251372,BNB,0.15596785517099343,0.2183286862703735,BCH,0.1336488835715316,-0.03100275619350143,ETC,0.15177109098810354,-0.05433787465289827,DCR,0.14943734224618416,-0.2879722108713086,GNO,0.053329418078917945,-1.2949631696445674
